chr start_position(hg38) RY1 RY2 RY3 RY4 WS1 WS2 WS3 WS4
1 41544474 779 381 815 345 715 445 391 769
1 41544498 783 377 813 347 751 409 387 773
1 41544519 784 376 818 342 745 415 395 765
1 41544525 801 359 813 347 761 399 379 781
1 41544534 795 365 817 343 765 395 377 783
1 41544543 799 361 817 343 765 395 385 775
1 41544555 800 360 812 348 738 422 414 746
1 41544561 813 347 809 351 768 392 378 782
1 41544567 812 348 808 352 757 403 413 747
1 41544582 812 348 802 358 738 422 418 742
1 41544585 816 344 808 352 755 405 405 755
1 41544586 344 816 350 810 385 775 779 381
1 41544588 816 344 816 344 802 358 364 796
1 41544594 814 346 814 346 755 405 409 751
1 41544597 806 354 816 344 788 372 384 776
1 41544603 812 348 810 350 754 406 398 762
1 41544612 810 350 814 346 751 409 399 761
1 41544624 812 348 806 354 778 382 374 786
1 41544630 814 346 816 344 746 414 408 752
1 41544639 812 348 810 350 760 400 410 750
1 41544642 804 356 822 338 772 388 372 788
1 41544651 812 348 810 350 775 385 383 777
1 41544658 356 804 348 812 388 772 772 388
1 41544660 810 350 820 340 756 404 372 788
1 41544666 812 348 806 354 763 397 395 765
1 41544669 810 350 816 344 769 391 395 765
1 41544678 804 356 814 346 784 376 380 780
1 41544690 812 348 794 366 738 422 404 756
1 41544693 801 359 813 347 756 404 408 752
1 41544696 816 344 802 358 776 384 378 782
1 41544699 815 345 803 357 765 395 425 735
1 41544705 815 345 789 371 784 376 372 788
1 41544711 824 336 790 370 755 405 391 769
1 41544714 816 344 794 366 801 359 363 797
1 41544723 825 335 795 365 783 377 385 775
1 41544724 347 813 375 785 394 766 750 410
1 41544726 818 342 782 378 751 409 429 731
1 41544729 813 347 795 365 789 371 413 747
1 41544730 346 814 372 788 377 783 751 409
1 41544750 817 343 783 377 780 380 394 766
2 60466934 778 382 812 348 389 771 763 397
2 60466949 795 365 813 347 395 765 779 381
2 60466958 796 364 814 346 392 768 798 362
2 60466967 794 366 816 344 394 766 780 380
2 60466972 375 785 343 817 742 418 410 750
2 60466982 791 369 815 345 389 771 781 379
2 60466985 806 354 818 342 370 790 796 364
2 60466991 794 366 812 348 385 775 803 357
2 60466994 799 361 819 341 392 768 786 374
2 60466997 806 354 816 344 382 778 798 362
2 60467000 797 363 813 347 362 798 786 374
